phrase, score
wilma nora ulf flash truls christina og, 20
trust sponsored by canary wharf group plc, 20
trust by the rotary club of ullapool, 20
trust through the landfill communities fund veolia, 20
read died 25th march 2005 aged 73, 20
armitage royal british legion, 20
23 years old "forever in our heartsuntil, 20
23 july 2005 father teo hap bie, 20
r willcox – 23 years old "forever, 20
cleary esq mbe frics in commemoration of, 20
care we have no time to stop, 20
edie & charlie michael happy memories with, 20
peters 1907-1969 to live in the hearts, 20
wings were removed to help the war, 20
wings south west for bideford town council, 20
dave butler husband father brother grandad and, 20
committee reverend gordon white founder margaret and, 20
committee bob and edna ellis founders and, 20
committee anne and len ortzen founders mr, 20
committee margery gardiner committee mr david thomas, 20
bob and edna ellis founders and committee, 20
share with monique hunter her delight in, 20
share the river and nature that he, 20
monique hunter her delight in these gardens, 20
30 januar 2015 alle gode ønsker fra, 20
linda serb schwake (1958-1998) she loved life, 20
end it simply means we will miss, 20
end it's not the years in your, 20
beginning out to the undiscovered ends there's, 20
public gardens association denison house 296 vauxhall, 20
public art development trust sponsored by canary, 20
public and was placed here by order, 20
mill with stroud valleys project supported by, 20
forms part of the bretton hall estate, 20
19 november 1948 died 26 march 2011, 20
norah ward died 15 june 1987 born, 20
invite you to rest a while and, 20
simply means we will miss you until, 20
gift of st mary's college society in, 20
gift of tudor city association inc 2001, 20
gift she was nancy diane keen feb, 20
proud dad and grandad always together love, 20
than anywhere else, 20
than a thought, 20
than you believe stronger than you seem, 20
than you seem and smarter than you, 20
turner donated by his family and friends, 20
law of the francis family 1931-2019 who, 20
stood on old london bridge was presented, 20
earth and danced the skies on laughter-silvered, 20
earth shall claim your limbs then shall, 20
2016 newbury town council telephone: 01635 35486, 20
2016 a wonderful husband and devoted father, 20
2016 a lad from meadow road who, 20
2016 thanks to the efforts of the, 20
elsie mary smith of streatham 15322 to, 20
wood 1949-2009 our dear friend and birding, 20
don grimes founder of the friends of, 20
don a tingler 1928 - 2004 the, 20
mackenzie dfc afc ae 8th june 1916, 20
watch between me and thee while we, 20
mulhere 17th january 1973 - 4th march, 20
brave beyond measure my world my home, 20
past founders and committee members commemorated 26th, 20
2015 forever in our, 20
2015 loved and missed by family and, 20
2015 alle gode ønsker fra wilma nora, 20
2015 he came home to sidmouth beloved, 20
use of the public and was placed, 20
part of the bathford, 20
part of the bretton hall estate acquired, 20
part of who we are and our, 20
part god has you in his keeping, 20
scarborough branch of the association of wrens, 20
borough of lambeth always enjoyed visiting brockwell, 20
borough of reigate and banstead 1979 -, 20
touched so many will never be forgotten, 20
touched the lives of, 20
touched and always looked for the good, 20
leaving us memories to treasure and keep, 20
say hello donated by the sclt charity, 20
73 she loved the hills and these, 20
volunteer and friend always on the go, 20
cambridge university botanic garden association in memory, 20
nearer god's heart in the garden than, 20
nearer gods heart in a garden than, 20
anywhere else on, 20
1928 - 2004 the flower of memory, 20
silver jubilee of queen, 20
silver jubilee of h m queen elizabeth, 20
silver jubilee 1977, 20
ii 👑 diamond jubilee, 20
kumar (1937 - 2006) she was special, 20
church social club formerly at college church, 20
church and nicolson street church edinburgh september, 20
hospital london fellow and tutor in molecular, 20
provided by the metropolitan public gardens association, 20
provided by the friends, 20
provided by the abney park trust working, 20
provided by the ravensbourne valley preservation society, 20
metropolitan public gardens association denison house 296, 20
entirely from bag for life and other, 20
sculpture park for them to safeguard and, 20
sounds in the air and splendour splendour, 20
night and god bless, 20
become part of who we are and, 20
fellow of the zoological society of london, 20
fellow and tutor in molecular medicine magdalen, 20
social club formerly at college church and, 20
philip turner donated by his family and, 20
philip canham born in botesdale 19 november, 20
order of the right honourable w cowper, 20
community and as a town councillor from, 20
community celebrate sustrans winning a nationwide vote, 20
community association presented in memory of past, 20
community planting at capel's mill with stroud, 20
dec 7 2010 a beautiful spirit who, 20
14th september 2017 have some memories while, 20
make them bloom i'm always in your, 20
am the soft stars that shine at, 20
am not gone but merely walk within, 20
am an old woman i shall wear, 20
am remembering thelma woods gwraig mam nani, 20
tide is a wild call and a, 20
sky and all i ask is a, 20
shed tears that she is gone or, 20
flows strong and deep leaving us memories, 20
ask is a windy day with the, 20
remain forever in our, 20
remain forever in our hearts "may the, 20
behind is not to die" in loving, 20
01/04/2012 and margo buschman 21/05/1945 - 27/02/1999, 20
nat puri for the, 20
white founder margaret and leon green founders, 20
parish council to commemorate the golden jubilee, 20
parish council to commemorate the centenary of, 20
parish church social club formerly at college, 20
lend you for a little while a, 20
way memories of you, 20
way though absent you are ever near, 20
native of this city gifted by her, 20
1954 in memory of john nicholas sheader, 20
free hospital london fellow and tutor in, 20
free now so go ride the clouds, 20
1958 - dec 7 2010 a beautiful, 20
harley dave butler husband father brother grandad, 20
know where i'm going from here but, 20
i'm going from here but i promise, 20
i'm always in your quiet room i'm, 20
going from here but i promise it, 20
lucy cartwright 8/10/2004 - 5/4/2017 "your light, 20
grateful remembrance of john brown kirkwood obe, 20
thought away loved and remembered every day", 20
90th birthday of hm queen elizabeth ii, 20
visited these gardens as a commander in, 20
van le all things will come to, 20
founded 1970 in rememberance of past founders, 20
league of friends of, 20
hamilton died 2241994 donated by his loving, 20
help the war effort c 1942 they, 20
esq jp for the use of the, 20
esq mbe frics in commemoration of the, 20
co (est 1855) of narrow quay in, 20
newport & district community association presented in, 20
vc born 1824 he was awarded the, 20
gardiner committee mr david thomas committee member, 20
commissioned by public art development trust sponsored, 20
tragically taken from, 20
thee while we are absent one from, 20
thee for those in peril on the, 20
leave behind is not to die" in, 20
leave with a smile not a tear, 20
hewitt - 1950 to 2013 "an everlasting, 20
sidmouth beloved husband proud dad and grandad, 20
kennedy a clark and daughter of robert, 20
barling who enjoyed walking in lee valley, 20
most are those we take for granted", 20
former mayoress of the london borough of, 20
token of respect by his many friends, 20
crescent and its two wings were removed, 20
crescent association marianna clark the residents and, 20
woods gwraig mam nani a chwaer annwyl, 20
diane keen feb 9 1958 - dec, 20
yorkshire sculpture park for them to safeguard, 20
jp representative of canongate ward 1928-1940 erected, 20
jp for the use of the public, 20
smiles not tears count your life by, 20
seas again to the, 20
kiss of the sun, 20
pardon the song of, 20
slipped the surly bonds of earth and, 20
it's hard to forget someone who gave, 20
it's not the years in your life, 20
 len  8th august 1921 -, 20
 8th august 1921 - 14th september, 20
disaster 1954 in memory of john nicholas, 20
infinity in the palm of your hand, 20
art development trust sponsored by canary wharf, 20
ae 8th june 1916 - 5th june, 20
kindness in another's trouble courage in your, 20
courage to change the things i can, 20
there's nothing worth the wear of winning, 20
we're far apart for every time you, 20
loves london's gardens almost as much as, 20
ivan porter chair of bridgnorth bench 2003, 20
sailing and playing golf during his years, 20
along the prom "rest in peace now", 20
celebrating the lives of, 20
2017 in memory of, 20
2017 a valued colleague and good friend, 20
2017 forever in our, 20
2017 have some memories while you're here, 20
"forever in our heartsuntil we meet again", 20
treasure them all unseen unheard you are, 20
you'll never walk, 20
you'll live forever live as if you'll, 20
mam nani a chwaer annwyl loving wife, 20
'life for a life' memorial forest donated, 20
breath of fresh air, 20
broke our hearts, 20
lose you but you didn't go alone, 20
lose you both no one will ever, 20
diamond jubilee of her majesty the queen, 20
diamond jubilee of queen, 20
diamond jubilee of queen elizabeth ii 2012, 20
sleep and a sweet, 20
lou lancaster of falmouth maine who loves, 20
thornton minister of st margaret's parish church, 20
above self" benches donated by rotary club, 20
hard to forget someone who gave us, 20
hard working hands at rest god broke, 20
om gunvor og kaare bø som vi, 20
serenity to accept the things i cannot, 20
rain or shine i will be right, 20
nancy diane keen feb 9 1958 -, 20
le all things will come to pass, 20
enjoyment of all who, 20
enjoyment of all who love london as, 20
enjoyment of present day and future generations, 20
came home to sidmouth beloved husband proud, 20
johnston of san francisco who visited these, 20
san francisco who visited these gardens as, 20
francisco who visited these gardens as a, 20
commander in the us navy during the, 20
commander kenneth william mackenzie dfc afc ae, 20
navy during the normandy landings and later, 20
normandy landings and later with his family, 20
landings and later with his family and, 20
bloom i'm always in your quiet room, 20
magic & our dad was magic! good, 20
deep in our hearts your memory is, 20
deep leaving us memories to treasure and, 20
nature kind and gentle to all creatures, 20
learn is just to love and be, 20
"in memory of, 20
roger and betty mallet you will remain, 20
kind and gentle, 20
kind and gentle to all creatures passionate, 20
frics in commemoration of the silver jubilee, 20
reunited with her eldest daughter laura in, 20
danielle miller cabaret artiste & writer died, 20
75th anniversary of the womens institute september, 20
hudson 26061965 - 07062005 who worked in, 20
gather and treasure them all unseen unheard, 20
lancaster of falmouth maine who loves london's, 20
falmouth maine who loves london's gardens almost, 20
maine who loves london's gardens almost as, 20
london's gardens almost as much as her, 20
almost as much as her husband loves, 20
1905 - 1984 in loving memory of, 20
1905 rotary international 2005 presented by the, 20
something you must always remember you are, 20
passes memories stay loved and remembered every, 20
woman i shall wear purple with a, 20
"to live in the hearts we leave, 20
"to live in hearts, 20
lonely sea and the, 20
lonely sea and the sky and all, 20
wing commander kenneth william mackenzie dfc afc, 20
comes a day when we can't be, 20
1908 to 1990 edward howes 1908 to, 20
gently we gather and treasure them all, 20
unheard you are always near so loved, 20
unheard you are always near so missed, 20
sunset and evening star and one clear, 20
"we are such stuff as dreams are, 20
benches donated by rotary club of saratoga, 20
mind someone stopping to say hello donated, 20
oh i do like to be beside, 20
citizen of edinburgh presented by her daughter, 20
magdalen college 2001-2004 this bench is given, 20
tutor in molecular medicine magdalen college 2001-2004, 20
dphil mrcp frcpath 1972-2015 consultant physician the, 20
mrcp frcpath 1972-2015 consultant physician the royal, 20
frcpath 1972-2015 consultant physician the royal free, 20
1972-2015 consultant physician the royal free hospital, 20
consultant physician the royal free hospital london, 20
molecular medicine magdalen college 2001-2004 this bench, 20
medicine magdalen college 2001-2004 this bench is, 20
2001-2004 this bench is given by his, 20
capital ring walkers and local people in, 20
keith walker chairman walkers products ltd to, 20
hope that you enjoy it too the, 20
hope you enjoy the view as much, 20
ramblers who are no longer with us, 20
fishing had to go had a bite, 20
someone who gave us so much to, 20
someone you love becomes, 20
someone stopping to say hello donated by, 20
afc ae 8th june 1916 - 5th, 20
darshan singh hayer in memory of his, 20
valued friend and member of hmbc sadly, 20
valued employee but most of all -, 20
15 june 1987 born 15 may 1924, 20
silent tear a constant, 20
silent thoughts of times together hold memories, 20
tear a constant wish, 20
yvonne holt who lived in lowndes square, 20
yvonne mcmillan who both loved it here, 20
gods heart in a garden than anywhere, 20
stand like stone kindness in another's trouble, 20
myself beloved to feel myself beloved on, 20
vicar of this parish 1955-1959 presented by, 20
strong and deep leaving us memories to, 20
pride 2nd engineering officer paul a henry, 20
development trust sponsored by canary wharf group, 20
hinton lover of nature kind and gentle, 20
"life is a collection of memories the, 20
finance officer at university of warwick from, 20
dixon esq jp for the use of, 20
til minne om sissel min kjære samboer, 20
til minne om gunvor og kaare bø, 20
og besta johan petter erik christian og, 20
og kaare bø som vi savner savner, 20
off your feet and enjoy the view, 20
cry to thee for those in peril, 20
walt sobutta aged 47 'bike or boot', 20
sobutta aged 47 'bike or boot' rest, 20
eldest daughter laura in st ives a, 20
canham born in botesdale 19 november 1948, 20
"may the lord watch between me and, 20
(tyler) 1131926 - 1352011 "gone are the, 20
1131926 - 1352011 "gone are the days, 20
1352011 "gone are the days we used, 20
"gone are the days we used to, 20
harbour commissioners this seat presented by mr, 20
ends there's nothing worth the wear of, 20
federation of residents and tenants associations of, 20
veteran of the great war loving daughter, 20
touch our lives stay in our hearts, 20
ring walkers and local people in crystal, 20
walkers and local people in crystal palace, 20
walkers products ltd to mark many years, 20
saleh f alzouman & suad i almuffarij, 20
wrvs in memory of one of their, 20
horace minton holland vicar of this parish, 20
lichfield greenhill bower committee in memory of, 20
fondly remembered by all the family and, 20
fondly remembered by his, 20
gallagher loving husband dad & grandpa who, 20
enhancing this unique section of the se, 20
dfc afc ae 8th june 1916 -, 20
idea is to have as many good, 20
puri for the benefit, 20
goodnight god bless, 20
phoebe association to commemorate the adoption of, 20
(est 1855) of narrow quay in commemoration, 20
of: paul r willcox – 23 years, 20
section of the se london green chain, 20
section of the heritage towpath trail on, 20
fuller son in law of the francis, 20
verdure is the most perfect refreshment jane, 20
reverend gordon white founder margaret and leon, 20
[left] in loving memory of john and, 20
hrh prince of wales to lady diana, 20
wakefield mdc in 2007 and transferred to, 20
estate acquired by the city of wakefield, 20
purchased thanks to money raised by donations, 20
tenants associations of leighton buzzard and linslade, 20
una maud daley 090731 - 191108 former, 20
cotswold association of the national trust 2002, 20
planting at capel's mill with stroud valleys, 20
employee but most of all - our, 20
wilfrid quarmby who died june 1988 aged, 20
representative of canongate ward 1928-1940 erected as, 20
villagers of beaford in celebration of the, 20
bathford parish plan 2006, 20
2006) she was special to all those, 20
benk til minne om gunvor og kaare, 20
mallet you will remain in our hearts, 20
butler husband father brother grandad and great, 20
opening of the restored gallows reach section, 20
durham - heritage partnership scheme in memory, 20
durham - heritage partnership scheme donated to, 20
durham - heritage partnership scheme this seat, 20
prince of wales's own regiment of yorkshire, 20
prince and flights of angels sing thee, 20
chain for the enjoyment of present day, 20
twinkle twinkle little star how i wonder, 20
twinkle little star how i wonder what, 20
speaking of the river an audio bench, 20
audio bench by constance de jong commissioned, 20
jong commissioned by public art development trust, 20
taught his family to sail on these, 20
"do not go gentle into that good, 20
count it's the life in your years", 20
count your life by friends not years, 20
weight off your feet, 20
weight off your feet and enjoy the, 20
'he lived for those he loved and, 20
"home is the sailor home from the, 20
cecile mcqueen (nee peloquin) 1952-2007 mom wife, 20
padstow & district lions club from carnival, 20
everybody needs a place, 20
ev -e - ry step ev-ery step, 20
twinning association founded 1970 in rememberance of, 20
passionate cricketer veteran of the great war, 20
southard leg spinner he tossed it high, 20
trent & mersey canal society dedicated to, 20
woody 17th march 1958 17th june 2014, 20
climb and when the earth shall claim, 20
calls us one by one the chain, 20
1952-2007 mom wife sister teacher volunteer and, 20
brings that then i scorn to change, 20
clear call for me and may there, 20
strange that those we miss the most, 20
right] in loving memory, 20
"those we love don't go away they, 20
apart for every time you think of, 20
mdc in 2007 and transferred to yorkshire, 20
believe stronger than you seem and smarter, 20
doing with a heart that's ever free", 20
essie coffin loved to watch the lifeboat, 20
coffin loved to watch the lifeboat launch, 20
coffin who spent many happy hours over, 20
vista fountains joint first prize winner for, 20
mcqueen (nee peloquin) 1952-2007 mom wife sister, 20
peloquin) 1952-2007 mom wife sister teacher volunteer, 20
keen feb 9 1958 - dec 7, 20
step ev-ery step a bless ing_ ev-ery, 20
step a bless ing_ ev-ery inch is, 20
lad from meadow road who swam in, 20
bonehill 1921 - 2016 a lad from, 20
meadow road who swam in the avon, 20
palm of your hand and eternity in, 20
fill your days with smiles not tears, 20
howes 1908 to 1990 edward howes 1908, 20
self" benches donated by rotary club of, 20
2019 sadly missed by all who knew, 20
[metal plate] in, 20
can't be together keep me in your, 20
2018 he lives with us in memory, 20
rye harbour nature reserve, 20
canongate ward 1928-1940 erected as a token, 20
bailie george rhind jp representative of canongate, 20
rhind jp representative of canongate ward 1928-1940, 20
1928-1940 erected as a token of respect, 20
1912-1998 in life our inspirations and now, 20
inspirations and now our guiding stars janette, 20
guiding stars janette sylvia jim catherine and, 20
minister of st margaret's parish church from, 20
margaret's church halstead in loving memory of, 20
moth- er_ walk on the moth- er_, 20
moth- er_ your feet are glo-ry -, 20
er_ walk on the moth- er_ your, 20
er_ your feet are glo-ry - bound_, 20
-e - ry step ev-ery step a, 20
ry step ev-ery step a bless ing_, 20
ev-ery step a bless ing_ ev-ery inch, 20
owed ground ev-ery inch is hall-owed ground, 20
ln memory of, 20
hut owners assoc walton remembers fondly it's, 20
johan petter erik christian og barnebarna fpv, 20
shilton eleemosynary and william rainborw charities 2002, 20
top then shall you begin to climb, 20
undiscovered ends there's nothing worth the wear, 20
slack who had many happy holidays in, 20
leon green founders and committee bob and, 20
goodbyes are not the end they simply, 20
means we will miss you until we, 20
rona collia (1946-2012) beloved mother of gina, 20
surly bonds of earth and danced the, 20
bonds of earth and danced the skies, 20
rememberance of past founders and committee members, 20
rememberance and seating has been donated by, 20
• Скамейки свободы • مقاعد الحرية 自由长椅, 20
• Скамейки свободы مقاعد الحرية • 自由长椅, 20
• مقاعد الحرية 自由长椅 • les bancs, 20
• les bancs de la liberté •, 20
• 自由长椅 • les bancs de la, 20
libertad • Скамейки свободы • مقاعد الحرية, 20
libertad • Скамейки свободы مقاعد الحرية •, 20
Скамейки свободы • مقاعد الحرية 自由长椅 •, 20
Скамейки свободы مقاعد الحرية • 自由长椅 •, 20
свободы • مقاعد الحرية 自由长椅 • les, 20
свободы مقاعد الحرية • 自由长椅 • les, 20
مقاعد الحرية 自由长椅 • les bancs de, 20
مقاعد الحرية • 自由长椅 • les bancs, 20
الحرية 自由长椅 • les bancs de la, 20
الحرية • 自由长椅 • les bancs de, 20
26061965 - 07062005 who worked in these, 20
07062005 who worked in these gardens 2002, 20
chosen by your community celebrate sustrans winning, 20
hayer in memory of his wife satwant, 20
awarded the victoria cross for bravery in, 20
er cof am remembering thelma woods gwraig, 20
er cof annwyl am in loving memory, 20
er satt opp i 2008 av bergens, 20
cof am remembering thelma woods gwraig mam, 20
cof annwyl am in loving memory of, 20
chat' bench sit here if you don't, 20
cricketer veteran of the great war loving, 20
call of the running tide is a, 20
call for me and may there be, 20
call myself beloved to feel myself beloved, 20
ortzen founders mr ken woltorton founder bill, 20
woltorton founder bill and mary maddocks founders, 20
johanna she loved these gardens and died, 20
whatever we were to each other that, 20
younger beloved wife of kennedy a clark, 20
von herrn senator dr fritz ebbert aus, 20
collection of memories the idea is to, 20
becomes a memory the, 20
absent you are ever near still missed, 20
absent you are always near still loved, 20
absent you are always near still missed, 20
absent one from the other" genesis 31:49, 20
laughed at the little jokes we enjoyed, 20
reached the mountain top then shall you, 20
mountain top then shall you begin to, 20
begin to climb and when the earth, 20
claim your limbs then shall you truly, 20
creatures passionate cricketer veteran of the great, 20
[back] royal fusiliers, 20
lostak 120776 - 111107 loved son and, 20
120776 - 111107 loved son and cherished, 20
111107 loved son and cherished brother you, 20
reach section of the heritage towpath trail, 20
kennington daughter of the sculptor of the, 20
thelma woods gwraig mam nani a chwaer, 20
braver than you believe stronger than you, 20
stronger than you seem and smarter than, 20
fountains joint first prize winner for best, 20
kennel club recognising dogs, 20
recognising dogs in film, 20
seems the same but as god calls, 20
wealth brings that then i scorn to, 20
tan a mie 4 may 1932 -, 20
bag for life and other recycled plastic, 20
recycled plastic waste waitrose wwwwaitrosecom donated by, 20
plastic waste waitrose wwwwaitrosecom donated by waitrose, 20
nhan van le all things will come, 20
environmental trust through the landfill communities fund, 20
alcove which stood on old london bridge, 20
honourable w cowper first commissioner of her, 20
characters for this portrait bench chosen by, 20
portrait bench chosen by your community celebrate, 20
av bergens skog- og træplantningsselskap og gc, 20
alle gode ønsker fra wilma nora ulf, 20
benken er satt opp i 2008 av, 20
bergens skog- og træplantningsselskap og gc rieber, 20
skog- og træplantningsselskap og gc rieber fondene, 20
martins property corporation ltd 4th june 1991, 20
1949-2009 our dear friend and birding mentor, 20
botesdale 19 november 1948 died 26 march, 20
nÉe younger beloved wife of kennedy a, 20
cartwright 8/10/2004 - 5/4/2017 "your light shines, 20
bexhill friends of the elderly september 1987, 20
annwyl loving wife mum nanny sister 13091939, 20
brooklands society commemorative seat, 20
brooklands society commemorative seat in memory of, 20
"they cared for those they helped and, 20
mousehole harbour commissioners this seat presented by, 20
mousehole members to commemorate the 75th anniversary, 20
commissioners this seat presented by mr ted, 20
1897-1987 who enjoyed sailing and playing golf, 20
1931-2019 who taught his family to sail, 20
expect to pass through this world but, 20
careless  len  8th august 1921, 20
mie 4 may 1932 - 23 july, 20
teo hap bie 26 october 1925 -, 20
hap bie 26 october 1925 - 10, 20
bie 26 october 1925 - 10 october, 20
seating has been donated by the hams, 20
fra wilma nora ulf flash truls christina, 20
starts without me don't think we're far, 20
minne om gunvor og kaare bø som, 20
mor og besta johan petter erik christian, 20
besta johan petter erik christian og barnebarna, 20
beating hard working hands at rest god, 20
som vi savner savner og savner rita, 20
gode ønsker fra wilma nora ulf flash, 20
uranienborg - majorstuen vastkanttorvets, 20
hexeberg 30 januar 2015 alle gode ønsker, 20
januar 2015 alle gode ønsker fra wilma, 20
ønsker fra wilma nora ulf flash truls, 20
majorstuen vastkanttorvets venner 1988, 20
mersey canal society dedicated to the memory, 20
søstrene bø's benk til minne om gunvor, 20
bø's benk til minne om gunvor og, 20
gunvor og kaare bø som vi savner, 20
kaare bø som vi savner savner og, 20
bø som vi savner savner og savner, 20
savner savner og savner rita og mona, 20
ache in sadness and secret tears still, 20
8/10/2004 - 5/4/2017 "your light shines on", 20
gallows reach section of the heritage towpath, 20
daley 090731 - 191108 former mayoress of, 20
bubble two things stand like stone kindness, 20
harrow in honoured and loving memory of, 20
southampton by his family and friends in, 20
botanic garden association in memory of robert, 20
stopped beating hard working hands at rest, 20
prove to us he only takes the, 20
transferred to yorkshire sculpture park for them, 20
graduates of this university a lad and, 20
hawthorne 1927 - 2011 greatly missed but, 20
abney park trust working with the capital, 20
strategic walk which is supported by transport, 20
inland waterways association hertfordshire branch presented this, 20
wantage by our twin town seesen in, 20
finials in this crescent and its two, 20
removed to help the war effort c, 20
effort c 1942 they were reinstated in, 20
reinstated in 2016 thanks to the efforts, 20
efforts of the lansdown crescent association marianna, 20
lansdown crescent association marianna clark the residents, 20
marianna clark the residents and many others, 20
minton holland vicar of this parish 1955-1959, 20
recognise his work in the community and, 20
2241994 donated by his loving wife and, 20
belford in memory of dr james mcdonald, 20
(1867-1949) dr david t mcdonald (1896-1959) dr, 20
tingler 1928 - 2004 the flower of, 20
windy day with the white clouds flying, 20
farkass (1911-1975) who loved this spot the, 20
(1911-1975) who loved this spot the landscape, 20
ore stabit fortis arare placet ore stat, 20
nani a chwaer annwyl loving wife mum, 20
ullapool museum trust by the rotary club, 20
gåva från samfundet nordiska, 20
från samfundet nordiska museets, 20
samfundet nordiska museets och, 20
nordiska museets och skansens, 20
cainscross royal british legion club in memory, 20
patey-round 1st june 1951-12th december 2018 he, 20
1951-12th december 2018 he lives with us, 20
gestiftet von herrn senator dr fritz ebbert, 20
herrn senator dr fritz ebbert aus passau, 20
products ltd to mark many years of, 20
beneficial association between the company and the, 20
collia (1946-2012) beloved mother of gina collia-suzuki, 20
"mo" gone fishing had to go had, 20
(1937 - 2006) she was special to, 20
littell 1968-2012 remembered with love by friends, 20
1968-2012 remembered with love by friends and, 20
batty a unique spirit loved so much, 20
freddie's bench our dad loved magic &, 20
carys eleanor cooke 1953-2010 enjoy the beauty, 20
1953-2010 enjoy the beauty of this view, 20
1907-1969 to live in the hearts we, 20
'happy to chat' bench sit here if, 20
stopping to say hello donated by the, 20
2020 always in our thoughts forever in, 20
1824 he was awarded the victoria cross, 20
streatham 15322 to 20202 who loved trees, 20
15322 to 20202 who loved trees and, 20
20202 who loved trees and flowers and, 20
090731 - 191108 former mayoress of the, 20
191108 former mayoress of the london borough, 20
1985-2005 the friends of brockwell park june, 20
capel's mill with stroud valleys project supported, 20
veolia environmental trust through the landfill communities, 20
willcox – 23 years old "forever in, 20
heartsuntil we meet again" 9/4/76 – 29/2/00, 20
2021 at the opening of the restored, 20
cabaret artiste & writer died june 2019, 20
artiste & writer died june 2019 sadly, 20
evesham parish church and bell tower 2014, 20
gwraig mam nani a chwaer annwyl loving, 20
chwaer annwyl loving wife mum nanny sister, 20
associations of leighton buzzard and linslade 2010, 20
bretton hall estate acquired by the city, 20
acquired by the city of wakefield mdc, 20
safeguard and manage for the people of, 20
manage for the people of the district, 20
sheader john harrison cammish francis bayes they, 20
cammish francis bayes they died in the, 20
bayes they died in the service of, 20
want? to call myself beloved to feel, 20
emigrated to canada 1922 died in toronto, 20
derwent valley mills sports and social club, 20
rickety bridge winery, 20
donated by his wife and, 18
donated by his loving family, 18
donated by her family and, 18
donated by john, 18
donated by friends in memory, 18
donated by friends of rosliston, 18
donated by friends of evesham, 18
donated by burton hospitals league, 18
donated by plymouth brethren christian, 18
donated by shenstone parish council, 18
donated in memory of david, 18
donated in memory of geoffrey, 18
donated in memory of john, 18
donated in memory of peggy, 18
donated to the city of, 18
donated to st margaret's church, 18
donated to bedworth cricket club, 18
by the river, 18
by the friends of st, 18
by the friends of glasgow, 18
by the royal british legion, 18
by the parish, 18
by the city, 18
by the big lottery fund, 18
by the inner wheel club, 18
by the trustees of the, 18
by his family and his, 18
by his family in loving, 18
by his friends and colleagues, 18
by his wife children and, 18
by his many friends in, 18
by his many friends and, 18
by her family and many, 18
by her family & friends, 18
by her family friends and, 18
by all the family and, 18
by all the family in, 18
by all their family and, 18
by all your, 18
by all that knew her, 18
by friends of rosliston wood, 18
by friends of evesham parish, 18
by friends and family in, 18
by one the chain will, 18
by everyone who knew him, 18
by unison staffordshire branch dedicated, 18
by members and friends of, 18
by harris & co (est, 18
by burton hospitals league of, 18
by plymouth brethren christian church, 18
by shenstone parish council to, 18
by bexhill friends of the, 18
by when you are not, 18
by change step, 18
the people erected by killamarsh, 18
the family in memory of, 18
the city of edinburgh by, 18
the love you, 18
the lives of all who, 18
the view as they did, 18
the view in memory of, 18
the late mr & mrs, 18
the 50th anniversary of ve, 18
the air and splendour splendour, 18
the life in your years", 18
the same location with the, 18
the memory of vince fitzsimons, 18
the heart of england way, 18
the women and girls sacrificed, 18
the beauty of this garden, 18
the hearts of those who, 18
the hearts of all who, 18
the wind be always at, 18
the wind beneath our wings, 18
the friends of holland park, 18
the friends of glasgow botanic, 18
the queen's golden jubilee 2002, 18
the occasion of their golden, 18
the rotary club of lichfield, 18
the rotary club of rhos, 18
the rotary international centenary 2005, 18
the end of world war, 18
the end it simply means, 18
the north cotswold association of, 18
the day god called you, 18
the community of, 18
the community in memory of, 18
the league of, 18
the members & friends to, 18
the most when the story, 18
the golden wedding anniversary of, 18
the uk funded by the, 18
the shade on a fine, 18
the mayor of, 18
the sights and sounds of, 18
the diamond glints on snow, 18
the founding members of west, 18
the surly bonds of earth, 18
the 40th anniversary of the, 18
the marsh fountain society award, 18
the lake beneath the trees, 18
the inner wheel club of, 18
the brightest star in the, 18
the going down of the, 18
the story was not finished, 18
the perry hall community association, 18
family in memory of john, 18
family and his many friends, 18
family friends and colleagues of, 18
family & friends in memory, 18
family & friends in loving, 18
family always in our hearts, 18
family forever in our thoughts, 18
in memory of paul and, 18
in memory of our much, 18
in memory of our colleague, 18
in memory of our dad, 18
in memory of our daughter, 18
in memory of our very, 18
in memory of a devoted, 18
in memory of a true, 18
in memory of a beautiful, 18
in memory of a good, 18
in memory of robert (bob), 18
in memory of robert william, 18
in memory of his father, 18
in memory of dr john, 18
in memory of dr james, 18
in memory of william h, 18
in memory of councillor mrs, 18
in memory of peter james, 18
in memory of mrs margaret, 18
in memory of mrs m, 18
in memory of mary elizabeth, 18
in memory of john d, 18
in memory of john william, 18
in memory of the founder, 18
in memory of the founding, 18
in memory of the reverend, 18
in memory of geoffrey and, 18
in memory of bert and, 18
in memory of jim &, 18
in memory of my lovely, 18
in memory of frank &, 18
in memory of george william, 18
in memory of michael j, 18
in memory of betty &, 18
in memory of peggy slater, 18
in memory of edith and, 18
in memory of helen and, 18
in memory of richard james, 18
in memory of ron and, 18
in memory of ron &, 18
in memory of past members, 18
in memory of arthur john, 18
in memory of arthur &, 18
in memory of joe &, 18
in memory of arnold and, 18
in memory of alfred john, 18
in memory of hilda and, 18
in memory of members of, 18
in memory of heber whittington, 18
in memory all the women, 18
in this village, 18
in our hearts 1948 -, 18
in our hearts love your, 18
in our hearts love mum, 18
in our hearts your memory, 18
in our thoughts in memory, 18
in our thoughts and never, 18
in our thoughts and loved, 18
in our thoughts & hearts, 18
in our thoughts love you, 18
in our thoughts mum dad, 18
in our thoughts rest in, 18
in loving memory of madge, 18
in loving memory of tracey, 18
in loving memory of grandad, 18
in loving memory of max, 18
